Country,Maize (corn),Rice,Sugar cane,Tomatoes,Bananas,"Groundnuts, excluding shelled","Cassava, fresh",Cocoa beans,"Coffee, green",Pineapples,Sweet potatoes,"Mangoes, guavas and mangosteens","Coconuts, in shell",Loss
Antigua and Barbuda,72.08399999999999,,0.0,460.7700000000001,253.36399999999998,,122.87,,,376.92199999999997,269.446,1367.954,,32.33870967741935
Barbados,226.378,,198561.302,873.32,954.3539999999999,17.076,360.02799999999996,,,,1099.2,,1736.0,983.9230769230769
Belize,64995.0,16165.2,1078441.6,972.0,97786.8,134.0,557.4,61.36800000000001,89.138,1825.6,70.4,166.51,763.922,4562.4857142857145
Benin,1261595.682,247462.72800000003,72000.0,263429.808,18767.613999999998,137943.124,3737862.66,0.0,61.812,347408.846,57580.164000000004,14703.390000000003,17292.0,36231.15
Burkina Faso,1424236.8,307655.4,484513.374,230516.11200000002,50666.666666666664,325478.64,20720.908000000003,,,,97039.0,13610.780000000002,,13971.68888888889
Burundi,143995.6,60708.0,216700.4,,1499381.4,10315.4,1797414.2,,23939.4,,739895.2,,,13374.22714285714
Cambodia,708981.8,9223788.0,945071.99,,140458.12,27001.2,7639535.94,,355.646,23253.142,45501.174,62203.121999999996,67442.0,57626.66
Cameroon,1799782.6,196305.6,1234572.216,917748.4,1323269.8,604266.6,4393292.6,272633.8,36053.772,216581.0,347761.6,854.454,4320.0,62851.82
Cabo Verde,5419.4,,28332.0,15667.2,9905.4,225.8,6127.4,,63.26800000000001,,7492.8,2360.2,6006.4,672.1538461538462
Central African Republic,121087.624,23000.362,109771.378,,128548.178,142003.01200000002,696448.1599999999,124.96600000000001,8192.786,15978.557999999999,,12412.83,,2205.923076923077
Comoros,5895.606,28526.146,,641.0440000000001,48047.036,936.4900000000001,63010.157999999996,40.370000000000005,131.63600000000002,,7056.531999999999,,91004.656,1728.9
Costa Rica,13659.0,227572.8,4134240.8,58560.2,2356220.45,219.484,159872.0,678.0,92974.6,2703087.2,380.0,41806.8,19595.28,44083.12631578947
Cuba,386463.2,576687.4,15960000.0,568243.7,206705.6,6409.273999999999,541318.3200000001,1730.0,8654.714,67467.198,412646.0,369418.6,64773.170000000006,62021.681318681316
Djibouti,16.27,,52.164,1641.6080000000002,,,,,,,,576.812,,88.875
Dominica,184.564,,4807.644,400.91600000000005,22439.752,,1184.242,453.6360000000001,243.92,119.426,2210.772,2086.862,8151.68,915.5
Dominican Republic,38493.513999999996,813461.676,4770034.004,234360.90600000002,1043313.892,4765.084000000001,173629.732,67987.56999999999,18268.534,400072.73600000003,45295.604,25987.256,259826.43199999997,31299.529411764706
Ecuador,1402240.916,1518453.636,8205283.336,50496.702000000005,6877246.473999999,20767.489999999998,70977.63200000001,164468.066,9690.2,156688.22600000002,3693.272,150679.77599999998,15214.4,33339.24
El Salvador,815729.4,34157.6,6568741.4,16672.4,9829.6,0.0,34804.4,254.6,56419.0,3426.2,703.2800000000001,61060.81799999999,64311.4,5539.341666666666
Fiji,647.716,6522.49,1789600.0,298.7,4093.7520000000004,333.092,66531.6,13.184000000000001,16.64,5221.04,8078.744000000001,152.4,18608.2,6158.691358024691
Gabon,42394.191999999995,1647.9560000000001,279508.488,447.934,17347.956,25644.658000000003,302714.23000000004,242.868,104.098,1186.816,3646.3660000000004,,,4359.436363636363
