Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1341,Apples,2016,2016,t,140903,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1341,Apples,2017,2017,t,175000,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1341,Apples,2018,2018,t,217192,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1341,Apples,2019,2019,t,250324,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1341,Apples,2020,2020,t,270857,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1341,Apples,2016,2016,t,11800,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1341,Apples,2017,2017,t,14656,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1341,Apples,2018,2018,t,22567,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1341,Apples,2019,2019,t,18948.05,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1341,Apples,2020,2020,t,20350.86,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1343,Apricots,2016,2016,t,17894,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1343,Apricots,2017,2017,t,131816,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1343,Apricots,2018,2018,t,109086,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1343,Apricots,2019,2019,t,129363,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1343,Apricots,2020,2020,t,131788,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1343,Apricots,2016,2016,t,537,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1343,Apricots,2017,2017,t,3955,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1343,Apricots,2018,2018,t,3273,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1343,Apricots,2019,2019,t,3881.64,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1343,Apricots,2020,2020,t,3953.64,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,115,Barley,2016,2016,t,301856,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,115,Barley,2017,2017,t,94995,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,115,Barley,2018,2018,t,56781,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,115,Barley,2019,2019,t,123576,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,115,Barley,2020,2020,t,127757,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,115,Barley,2016,2016,t,44000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,115,Barley,2017,2017,t,14000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,115,Barley,2018,2018,t,9475,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,115,Barley,2019,2019,t,19000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,115,Barley,2020,2020,t,19000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1330,Grapes,2016,2016,t,874541,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1330,Grapes,2017,2017,t,943056,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1330,Grapes,2018,2018,t,984081,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1330,Grapes,2019,2019,t,1112927,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,1330,Grapes,2020,2020,t,993382,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1330,Grapes,2016,2016,t,54245,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1330,Grapes,2017,2017,t,58462,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1330,Grapes,2018,2018,t,60936,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1330,Grapes,2019,2019,t,78505.36,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,1330,Grapes,2020,2020,t,70062.58,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2016,2016,t,311646,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2017,2017,t,173912,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2018,2018,t,106670,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2019,2019,t,184671,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,112,Maize (corn),2020,2020,t,271776,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2016,2016,t,47000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2017,2017,t,26000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2018,2018,t,18792,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2019,2019,t,28000,A,Official figure
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5016,Loss,112,Maize (corn),2020,2020,t,41000,A,Official figure
